空间名称,6.客户反馈表 CLIENT FEEDBACK,CONSULTANT,Created,Created by,Related to 1.PROJECT 工作项目 (🖼Space 空间产品),Related to MATERIAL LAB 材料库总表 (使用过的空间),Related to MATERIAL LAB 材料库总表 (使用过的空间) 1,SU/REVIT MODEL,单方造价,地面材料,天花材料,学校类型,房间类型,文件路径,材料供应商,活动内容,相关项目,缩略图预览,色系,设计师,设计风格,选用相关材料,配套设备
美工教室,,,"December 28, 2023 5:03 PM",G.M. LIU,"1908 BISS WELCOME CENTER (https://www.notion.so/1908-BISS-WELCOME-CENTER-ad1b28ba813a48f3986bf3aa1f99f2bf?pvs=21), 1910 WYCOMBE ABBY SCHOOL NANJING (https://www.notion.so/1910-WYCOMBE-ABBY-SCHOOL-NANJING-d48e9ca4b1fa45ec866b928277526281?pvs=21)",,,,,,,国际学校,MAKER SPACE,P:\_ARCHIVE\1910 WYCOMBE ABBY SCHOOL NANJING\DESIGN\05-PRESENTATION\SD Submission\INTERIOR\高清效果图,,"ART, MAKERSPACE","1910 WYCOMBE ABBY SCHOOL NANJING (https://www.notion.so/1910-WYCOMBE-ABBY-SCHOOL-NANJING-4177dae5ede2405383e381761d634b8e?pvs=21), 1908 BISS WELCOME CENTER (https://www.notion.so/1908-BISS-WELCOME-CENTER-1c512c2279bf43999567024246de8fce?pvs=21)","WY-374.jpg, %25E7%25BE%258E%25E5%25B7%25A5%25E5%25AE%25A4.jpg",,nicole (https://www.notion.so/nicole-880b553459b04e088182fa82e5b3aeef?pvs=21),现代,,"导轨, 电动门, 电源"
艺术教室,,,"December 28, 2023 5:03 PM",G.M. LIU,2001 JINHUA RIHS (https://www.notion.so/2001-JINHUA-RIHS-1c77cfa20a2b474fbbbb049a628034ab?pvs=21),,,,$$ - （￥1000 -￥2000）,,,民办双语,STEAM & LAB,P:\_ARCHIVE\2001 JINHUA RIHS\DESIGN\05_PRESENTATION\02-SD\20201113 INTERIOR修改,,"ART, STUDY",2001 JINHUA RIHS (https://www.notion.so/2001-JINHUA-RIHS-5b474bb83afc440db307681b75499189?pvs=21),art.png,彩色：蓝色系,"XINYAN (https://www.notion.so/XINYAN-57a702a2a3b0474c8f1d85b0fe7369f8?pvs=21), KUEIHAN (https://www.notion.so/KUEIHAN-8720cd8309ac4ca1a16f5ca8b2c2fdef?pvs=21)",现代,,"活动隔断, 画架"
多功能厅,,,"December 28, 2023 5:03 PM",G.M. LIU,1801 STAR AMERICA RJ42 (https://www.notion.so/1801-STAR-AMERICA-RJ42-366fbb6b1094473bb231d449d08613f4?pvs=21),,,P:\_ARCHIVE\1801 STAR AMERICA RJ42\DESIGN\02-BIM\REVIT,,,,国际幼儿园,AUDITORIUM / PERFM. CENTER / MUTI-FUNCTION,P:\_ARCHIVE\1801 STAR AMERICA RJ42\DESIGN\06-PUBLISH,,"GATHERING, READING",1801 STAR AMERICA RJ42 (https://www.notion.so/1801-STAR-AMERICA-RJ42-febbb03ba98541dbbe618e18f5951061?pvs=21),"DSC06375-%25E6%2581%25A2%25E5%25A4%258D%25E7%259A%2584.jpg, DSC05789-%25E7%25B7%25A8%25E8%25BC%25AF.jpg",,李岑 (https://www.notion.so/b099418ea0e24f9ebb7ce5eb1e666bc6?pvs=21),现代,,
体育楼 - 壁球场,,,"December 28, 2023 5:03 PM",G.M. LIU,2011 ZHONGSHAN ARDINGLY COLLEGE 中山阿丁莱 (https://www.notion.so/2011-ZHONGSHAN-ARDINGLY-COLLEGE-47a4e4432a5748d69ee6e8625f285a85?pvs=21),,,,$$ - （￥1000 -￥2000）,PVC地板,吸音铝板,国际学校,STADIUM,P:\2011 ZHONGSHAN ARDINGLY COLLEGE\DESIGN\05_PRESENTATION & PUBLISH\02_SD\INTERIOR SCHEMATIC DESIGN 室内方案设计\SCHEMATIC DESIGN STAGE Ⅲ 方案设计阶段 Ⅲ\ZSAC_INT_FINAL,,"GATHERING, SPORTS, WAITING",2011 ZHONGSHAN ARDINGLY COLLEGE 中山阿丁莱 (https://www.notion.so/2011-ZHONGSHAN-ARDINGLY-COLLEGE-eeb845fe7eda491a80a029c99523ca08?pvs=21),pe-squash_court.png,浅色木纹,安东尼 (https://www.notion.so/4075a4c6b66449daa86d99fe2d6c0f47?pvs=21),现代,,休息座
员工休息区,,,"December 28, 2023 5:03 PM",G.M. LIU,2202 WYCOMBE ABBEY CHANGZHOU 2022 SUMMER WORK (https://www.notion.so/2202-WYCOMBE-ABBEY-CHANGZHOU-2022-SUMMER-WORK-31772f9ed967457d9af8872c73331884?pvs=21),,,,$$$ - （￥2000 -￥4000）,,,国际学校,COMMON,P:\_ARCHIVE\2202 WYCOMBE ABBEY CHANGZHOU 2022 SUMMER WORK\06_PRESENTATION & PUBLISH\02_CONCEPT & SD,,GATHERING,2202 WYCOMBE ABBEY CHANGZHOU 2022 SUMMER WORK (https://www.notion.so/2202-WYCOMBE-ABBEY-CHANGZHOU-2022-SUMMER-WORK-3e5d237cbd4e4e259a1c2bc1d7050286?pvs=21),Picture3.png,"单色：灰色, 彩色：蓝色系, 浅色木纹",唐慧敏 (https://www.notion.so/4344d39f384c40cd8c9f6d81efa9ac13?pvs=21),现代,,休息座
综合楼 - 图书馆大厅,,,"December 28, 2023 5:03 PM",G.M. LIU,2312_SHENGHUA ZIZHU 闵行圣华紫竹双语学校 (https://www.notion.so/2312_SHENGHUA-ZIZHU-f79742cb3b30411dbf1c0f40644f9180?pvs=21),,,,$$ - （￥1000 -￥2000）,,,国际学校,LIBRARY,,,STUDY,2312_SHENGHUA ZIZHU 闵行圣华紫竹双语学校 (https://www.notion.so/2312_SHENGHUA-ZIZHU-e0764a9dda3c483d880aa82d965ecbc5?pvs=21),lib1.jpg,,王鑫 (https://www.notion.so/786e52e9db9847f7a2a7b9fe785c37fd?pvs=21),现代,,"休息座, 大台阶, 电子白板, 电源, 自然光"
校园空间产品模板,,,"December 28, 2023 5:03 PM",G.M. LIU,20231113_北京鼎石学校图书馆及礼堂改造 (https://www.notion.so/20231113_-0802866332094efcad2596b8945cd245?pvs=21),,,,$$ - （￥1000 -￥2000）,,,国际学校,REGULAR CLASSROOM,,,STUDY,20231113_北京鼎石学校图书馆及礼堂改造 (https://www.notion.so/20231113_-0b222a3edd6e42b199d373b147bd16bc?pvs=21),,,李岑 (https://www.notion.so/b099418ea0e24f9ebb7ce5eb1e666bc6?pvs=21),现代,,电子白板
幼儿园 - 地下门厅,,,"December 28, 2023 5:03 PM",G.M. LIU,2011 ZHONGSHAN ARDINGLY COLLEGE 中山阿丁莱 (https://www.notion.so/2011-ZHONGSHAN-ARDINGLY-COLLEGE-47a4e4432a5748d69ee6e8625f285a85?pvs=21),,,P:\2011 ZHONGSHAN ARDINGLY COLLEGE\DESIGN\05_PRESENTATION & PUBLISH\02_SD\INTERIOR SCHEMATIC DESIGN 室内方案设计\SCHEMATIC DESIGN STAGE Ⅲ 方案设计阶段 Ⅲ\PPT & RENDERING 设计文本 & 效果图\KG幼儿园\效果图2,$$ - （￥1000 -￥2000）,"木纹PVC, 防滑地砖",白色石膏板,国际幼儿园,ENTRANCE / LOBBY,P:\2011 ZHONGSHAN ARDINGLY COLLEGE\DESIGN\05_PRESENTATION & PUBLISH\02_SD\INTERIOR SCHEMATIC DESIGN 室内方案设计\SCHEMATIC DESIGN STAGE Ⅲ 方案设计阶段 Ⅲ\PPT & RENDERING 设计文本 & 效果图\KG幼儿园\效果图2,,"ART, DISPLAY, GATHERING, MUSIC, PERFOMANCE, PRESENTATION, READING",2011 ZHONGSHAN ARDINGLY COLLEGE 中山阿丁莱 (https://www.notion.so/2011-ZHONGSHAN-ARDINGLY-COLLEGE-eeb845fe7eda491a80a029c99523ca08?pvs=21),B1_LOBBY.png,彩色：绿色系,MIA (https://www.notion.so/MIA-b249df87d22247cfba7d0a624cfa0290?pvs=21),现代,,logo墙
走廊,,,"December 28, 2023 5:03 PM",G.M. LIU,2203 QINGDAO HONGWEN SCHOOL (https://www.notion.so/2203-QINGDAO-HONGWEN-SCHOOL-a8f4040234ca4be29231c998a69bbd3b?pvs=21),,,,$$ - （￥1000 -￥2000）,,,国际学校,HALLWAY / STAIR,P:\_ARCHIVE\2203 QINGDAO HONGWEN SCHOOL\04_STUDY\INA\效果图\20220511,,"CIRCULATION, DISPLAY",2203 QINGDAO HONGWEN SCHOOL (https://www.notion.so/2203-QINGDAO-HONGWEN-SCHOOL-0756dd81d2274c8bbc2b9832012105b9?pvs=21),Enscape_2022-05-16-17-04-33.png,彩色：蓝色系,INA (https://www.notion.so/INA-dd9506311dcf49358f19085fdeaa7aef?pvs=21),现代,,"logo墙, 导视系统"
威雅走道,,,"December 28, 2023 5:03 PM",G.M. LIU,1910 WYCOMBE ABBY SCHOOL NANJING (https://www.notion.so/1910-WYCOMBE-ABBY-SCHOOL-NANJING-d48e9ca4b1fa45ec866b928277526281?pvs=21),,,,,,2.4M,国际学校,HALLWAY / STAIR,P:\_ARCHIVE\1910 WYCOMBE ABBY SCHOOL NANJING\DESIGN\05-PRESENTATION\SD Submission\INTERIOR\EVA设计方案\CORRIDOR,,CIRCULATION,1910 WYCOMBE ABBY SCHOOL NANJING (https://www.notion.so/1910-WYCOMBE-ABBY-SCHOOL-NANJING-4177dae5ede2405383e381761d634b8e?pvs=21),"WY-244.jpg, WY-174.jpg, corridor_%25E6%25B5%2585%25E8%2593%259D.jpg",,KUEIHAN (https://www.notion.so/KUEIHAN-8720cd8309ac4ca1a16f5ca8b2c2fdef?pvs=21),现代,,"可视窗, 系统橱柜"
